year,state,area,population,value,unit,note
2011,All India,3287469,Males,623270258,"Area_in_Square_Kilometers, Population Value in Absolute Number","Area figures includes the area under unlawaful occupation of Pakistan and China. The area includes 78,114 sq.km. under illegal occupation of Pakistan, 5,180 sq. km.illegally handed over by Pakistan to China and 37,555 sq.km. under illegal occupation of China."
2011,Andhra Pradesh,275045,Males,42442146,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Arunachal Pradesh,83743,Males,713912,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Assam,78438,Males,15939443,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Bihar,94163,Males,54278157,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Chhattisgarh,135192,Males,12832895,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Goa,3702,Males,739140,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Gujarat,196244,Males,31491260,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Haryana,44212,Males,13494734,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Himachal Pradesh,55673,Males,3481873,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Jammu and Kashmir,222236,Males,6640662,"Area_in_Square_Kilometers, Population Value in Absolute Number","Area figures includes the area under unlawaful occupation of Pakistan and China. The area includes 78,114 sq.km. under illegal occupation of Pakistan, 5,180 sq. km.illegally handed over by Pakistan to China and 37,555 sq.km. under illegal occupation of China."
2011,Jharkhand,79716,Males,16930315,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Karnataka,191791,Males,30966657,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Kerala,38852,Males,16027412,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Madhya Pradesh,308252,Males,37612306,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Maharashtra,307713,Males,58243056,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Manipur,22327,Males,1438586,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Meghalaya,22429,Males,1491832,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Mizoram,21081,Males,555339,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Nagaland,16579,Males,1024649,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Odisha,155707,Males,21212136,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Punjab,50362,Males,14639465,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Rajasthan,342239,Males,35550997,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Sikkim,7096,Males,323070,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Tamil Nadu,130060,Males,36137975,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Tripura,10486,Males,1874376,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Uttar Pradesh,240928,Males,104480510,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Uttarakhand,53483,Males,5137773,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,West Bengal,88752,Males,46809027,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Andaman and Nicobar Islands,8249,Males,202871,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Chandigarh,114,Males,580663,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Dadra and Nagar Haveli,491,Males,193760,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Daman and Diu,111,Males,150301,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Delhi,1483,Males,8987326,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Lakshadweep,30,Males,33123,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Puducherry,490,Males,612511,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,All India,3287469,Females,587584719,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Andhra Pradesh,275045,Females,42138631,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Arunachal Pradesh,83743,Females,669815,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Assam,78438,Females,15266133,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Bihar,94163,Females,49821295,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Chhattisgarh,135192,Females,12712303,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Goa,3702,Females,719405,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Gujarat,196244,Females,28948432,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Haryana,44212,Females,11856728,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Himachal Pradesh,55673,Females,3382729,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Jammu and Kashmir,222236,Females,5900640,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Jharkhand,79716,Females,16057819,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Karnataka,191791,Females,30128640,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Kerala,38852,Females,17378649,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Madhya Pradesh,308252,Females,35014503,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Maharashtra,307713,Females,54131277,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Manipur,22327,Females,1417208,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Meghalaya,22429,Females,1475057,"Area_in_Square_Kilometers, Population Value in Absolute Number",
